ID,שם הספר,מחבר,סדרה,כרך בסדרה,חלק,סך כרכים בסדרה,סיווג,הערות,הושאל,
297,פיניאס ופרב - צרות בצרורות,,פיניאס ופרב,,,,ילדים,,,
298,פיניאס ופרב ממציאים את הכיף,,פיניאס ופרב,,,,ילדים,,,
299,גרוויטי פולס - יומן 3,,,,א,,ילדים,,,
300,גרוויטי פולס - יומן 3,,,,ב,,ילדים,,,
301,התכססנות השטנית של אסלת טורבו 2000,פילקי דאב,קפטן תחתונים,11,,12,ילדים,,,
302,הסיפור הסוער של שר סרחונסקי,פילקי דאב,קפטן תחתונים,12,,12,ילדים,,,
303,איש הכלב,פילקי דאב,איש הכלב,1,,,ילדים,,,
304,הקש האחרון,קיני ג'ף,יומנו של חנון,3,,12,ילדים,,,
305,משחקי מזל,קיני ג'ף,יומנו של חנון,8,,12,ילדים,,,
306,חופשה על גלגלים,קיני ג'ף,יומנו של חנון,9,,12,ילדים,,,
307,קולות מהעבר,קיני ג'ף,יומנו של חנון,10,,12,ילדים,,,
308,הכל או כלום,קיני ג'ף,יומנו של חנון,11,,12,ילדים,,,
309,יציאת חירום,קיני ג'ף,יומנו של חנון,12,,12,ילדים,,,
310,עשה זאת בעצמך,קיני ג'ף,יומנו של חנון,,,,ילדים,,,
311,המפגש,אפלגייט ק.א.,אנימורפס,3,,18,ילדים,באנגלית יש 54 ספרים,,
312,הטורף,אפלגייט ק.א.,אנימורפס,5,,18,ילדים,באנגלית יש 54 ספרים,,
313,החייזר,אפלגייט ק.א.,אנימורפס,8,,18,ילדים,באנגלית יש 54 ספרים,,
314,יוצאת לחופשה,הייל פאם,הנסיכה בשחור,4,,9,ילדים,,,
315,מפגש הגיבורות,הייל פאם,הנסיכה בשחור,5,,9,ילדים,,,
316,,הייל פאם,הנסיכה בשחור,6,,9,ילדים,,,
317,,הייל פאם,הנסיכה בשחור,7,,9,ילדים,,,
318,,הייל פאם,הנסיכה בשחור,8,,9,ילדים,,,
319,בת הים הנסיכה,הייל פאם,הנסיכה בשחור,9,,9,ילדים,,,
320,,מונקסטר הארייט,מיראבל,1,,6,ילדים,,,
321,,מונקסטר הארייט,מיראבל,2,,6,ילדים,,,
322,ביום ממש גרוע,מונקסטר הארייט,מיראבל,3,,6,ילדים,,,
323,בצרות צרורות !,מונקסטר הארייט,מיראבל,4,,6,ילדים,,,
324,וחתלתולי העטלף השובבים,מונקסטר הארייט,מיראבל,5,,6,ילדים,,,
325,,מונקסטר הארייט,מיראבל,6,,6,ילדים,,,
326,"מסעות החללית ""הנודד""",ג'קסון סטיב,,,,,משחק,,,
327,דרך המכשף,ג'קסון סטיב,דרך המכשף,,,2,משחק,,,
328,המכשף מפסגת הר האש,ג'קסון סטיב,,,,,משחק,,,
329,שבעת הנחשים,ג'קסון סטיב,כישוף,3,,13,משחק,,,
330,כתר המלכים,ג'קסון סטיב,כישוף,4,,13,משחק,,,
331,טירת האימים,ג'קסון סטיב,כישוף,5,,13,משחק,,,
332,ופו היה אומר,מילן אלן אלכסנדר,,,,,עיון ופנאי,,,
333,אוריגמי 1,,,,,,עיון ופנאי,,,
334,אוריגמי 2,,,,,,עיון ופנאי,,,
335,אוריגמי 3,,,,,,עיון ופנאי,,,
336,אוריגמי 4,,,,,,עיון ופנאי,,,
337,לקסיקון ארץ-ישראל,הראובני עמנואל,,,,,עיון ופנאי,,,
338,מדריך הרחובות תל-אביב-יפו,,,,,,עיון ופנאי,,,
339,תוצאות המסע לאפקטיביות אישית,גוז אביעד,,,,,עיון ופנאי,,,
340,ספר השירים לתלמיד חלק א',,ספר השירים לתלמיד,1,,2,עיון ופנאי,,,
341,ספר השירים לתלמיד חלק ב',,ספר השירים לתלמיד,2,,2,עיון ופנאי,,,
342,מי שטעם יין הונגרי,"איל צבי, טייב אלי",,,,,עיון ופנאי,,,
343,מעומק השלולית,עוזיאל מאיר,,,,,עיון ופנאי,,,
344,הכיסא הריק,רבי נחמן מברסלב,,,,,עיון ופנאי,,,
345,הנשק העדין,רבי נחמן מברסלב,,,,,עיון ופנאי,,,
346,חלומות הילדות שחלמנו,לוי רביב,,,,,עיון ופנאי,,,
347,מכל הלב לבתי האהובה,,,,,,עיון ופנאי,,,
348,שי קטן איחולי אושר,,,,,,עיון ופנאי,,,
349,המילון החדש,אבן-שושן אברהם,,,,9,עיון ופנאי,,,
350,חוויות המשתמש,פלורנטין טל,,,,,עיון ופנאי,,,
351,קיצור תולדות האנושות,הררי יובל נח,,,,,עיון ופנאי,,,
352,אסטרופיזיקה למי שאין לו זמן,טייסון ניל דה-גראס,,,,,עיון ופנאי,,,
353,לרפא עולם שבור,זקס יונתן,,,,,עיון ופנאי,,,
354,אמנות הדיבור בפני קהל,קארנגי דייל,,,,,עיון ופנאי,,,
355,האמת על באמת,אריאלי דן,,,,,עיון ופנאי,,,
356,שלך באי-רציונליות,אריאלי דן,,,,,עיון ופנאי,,,
357,סוד הקסם היפני,קונדו מארי,,,,,עיון ופנאי,,,
358,אחים ללא יריבות,"פייבר אדל, מייזליש אליין",,,,,עיון ופנאי,,,
359,איך הם עושים את זה,סוטון קרוליין,,,,,עיון ופנאי,,,
360,שעשועים עם פיזיקה,National Geographic,,,,,עיון ופנאי,,,
361,לא גיבור,אוון מארק,,,,,אוטוביוגרפיה,,,
362,הרב שלמה גורן בעוז ותעצומות,אבי רט,,,,,אוטוביוגרפיה,,,
363,אל תשלח ידך אל הנער,לאו ישראל מאיר,,,,,אוטוביוגרפיה,,,
364,"פירוש הרמב""ן על התורה",,,,,2,קודש,,,
365,קונקורדנציה,,,,,,קודש,,,
366,ממך אליך ,,,,,2,קודש,מחזור לראש השנה ויום כיפור,,
367,"לפשוטו של רש""י",,,,,5,קודש,,,
368,מסכת מגילה,,,,,,קודש,,,
369,מסכת סוכה,,,,,,קודש,,,
370,מסכת גיטין,,,,,,קודש,,,
371,מסכת בבא קמא,,,,,,קודש,,,
372,מסכת בבא קמא,"עם תרגום עברי ופירוש ד""ר עזרא מלמד",,,,,קודש,סלון,,
373,מסכת בבא מציעא,,,,,,קודש,,,
374,מסכת בבא בתרא,,,,,,קודש,,,
375,ספר מאורות הדף היומי לילדים,,,א,,,קודש,ברכות|שבת|עירובין|פסחים,,
376,הדף היומי לילדים ,"תלמוד ישראל, ידיעות ספרים",,ב,,,קודש,שקלים|יומא|סוכה|ביצה|ראש השנה|תענית|מגילה|מועד קטן|חגיגה,,
377,הדף היומי לילדים ,"תלמוד ישראל, ידיעות ספרים",,ג,,,קודש,יבמות|כתובות|נדרים|נזיר|סוטה,,
378,תיקון קוראים,,,,,,קודש,,,
379,תיקון קוראים - סימנים (קטן),,,,,,קודש,,,
380,מדרש רבה,,,,,2,קודש,על התורה,,
381,"צל""ח השלם המפואר",,,,,2,קודש,"על הש""ס",,
382,חמישה חומשי תורה - מקראות גדולות המאור,,,,,5,קודש,סלון,,
383,"תנ""ך",,,,,,קודש,סלון,,
384,חמישה חומשי תורה - כרך אחד עם תפילות,,,,,,קודש,סלון,,
385,מסכת אבות,ברטנורא + משנת אליעזר,,,,,קודש,סלון,,
386,מאוצרנו הישן,יאושזון ב.,,,,4,קודש,"על תורה + חגים/מגילות/פרקי אבות, סלון",,
387,"אוצר המלבי""ם - הכרמל",,,,,2,קודש,סלון,,
388,פניני קדם,,,,,2,קודש,"על התורה , סלון",,
389,כל בו לענייני ברית מילה,,,,,,קודש,"ברית יצחק + זוכר הברית + כסא אליהו, סלון",,
390,"קיצור דיני ברית מילה ופדה""ב",,,,,,קודש,סלון,,
391,ספר ימי הפורים - מגילת אסתר,,,,,,קודש,סלון,,
392,תפילה כהלכתה,פוקס יצחק יעקב,,,,,קודש,סלון,,
393,שמירת שבת כהלכתה,נויברט יהושע,,,,2,קודש,סלון,,
394,ט' באב שחל בשבת,,,,,,קודש,סלון,,
395,משנה ברורה,הוצאת בלום,,,,6,קודש,סלון,,
396,אתנחתא,לאו בנימין,,,,2,קודש,"על התורה + חגים, סלון",,
397,"משנה תורה להרמב""ם",,,,,6,קודש,סלון,,
398,"ספרי מהר""ל",,,,,18,קודש,סלון,,
399,טל חרמון,אבינר שלמה,,,,2,קודש,"על התורה + חגים, סלון",,
400,ערוך לנר,,,,,3,קודש,"על הש""ס, סלון",,
401,מנחת חינוך,,,,,3,קודש,סלון,,
402,שולחן ערוך - עם ר' עקיבא אייגר,,,,,10,קודש,סלון,,
403,ארחות צדיקים השלם,,,,,,קודש,,,
,,,,,,,,,,
,Mathematical Handbook of Formulas and Tables,,,,,,עיון ופנאי,2nd addition,,
