ID,שם הספר,מחבר,סדרה,כרך בסדרה,חלק,סך כרכים בסדרה,סיווג,הערות,הושאל,
79,צמידי האבל,סנדרסון ברנדון,הערפילאים עידן 2,3,,4,פנטזיה,,,
80,דרך המלכים א',סנדרסון ברנדון,גנזך אורות הסער,1א,,8,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
81,דרך המלכים ב',סנדרסון ברנדון,גנזך אורות הסער,1ב,,8,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
82,רסיסים של אור א',סנדרסון ברנדון,גנזך אורות הסער,2א,,8,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
83,רסיסים של אור ב',סנדרסון ברנדון,גנזך אורות הסער,2ב,,8,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
84,בעל השבועה א',סנדרסון ברנדון,גנזך אורות הסער,3א,,8,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
85,בעל השבועה ב',סנדרסון ברנדון,גנזך אורות הסער,3ב,,8,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
86,קצב המלחמה א',סנדרסון ברנדון,גנזך אורות הסער,4א,,8,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
87,קצב המלחמה ב',סנדרסון ברנדון,גנזך אורות הסער,4ב,,8,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
88,אסון,סנדרסון ברנדון,מלחמת הנפילים,3,,3,פנטזיה,,,
89,The Alloy of Law,סנדרסון ברנדון,הערפילאים עידן 2,1,,4,פנטזיה,,,
90,Shadows of self,סנדרסון ברנדון,הערפילאים עידן 2,2,,4,פנטזיה,,,
91,The Bands of mourning,סנדרסון ברנדון,הערפילאים עידן 2,3,,4,פנטזיה,,,
92,The lost metal ,סנדרסון ברנדון,הערפילאים עידן 2,4,,4,פנטזיה,,,
93,Elantris,סנדרסון ברנדון,,,,,פנטזיה ,,,
94,Warbreaker,סנדרסון ברנדון,,,,,פנטזיה,לא תורגם,,
95,Arcanum Unbounded,סנדרסון ברנדון,,,,,פנטזיה ,לא תורגם,,
96,The sunlit man,סנדרסון ברנדון,,,,,פנטזיה ,לא תורגם,,
97,Yumi and the Nightmare Painter,סנדרסון ברנדון,,,,,פנטזיה ,לא תורגם,,
96,Dawnshard,סנדרסון ברנדון,גנזך אורות הסער,3.5,,,פנטזיה,לא תורגם,,
97,חרב השאול,מורקוק מייקל,אלריק ממלניבונה,1,,4,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו ,,
98,ההוביט,טולקין ג'.ר.ר.,,,,,פנטזיה,,,
99,חבורת הטבעת,טולקין ג'.ר.ר.,שר הטבעות,1,,3,פנטזיה,,,
100,שני המגדלים,טולקין ג'.ר.ר.,שר הטבעות,2,,3,פנטזיה,מהדורה ישנה,,
101,שובו של המלך,טולקין ג'.ר.ר.,שר הטבעות,3,,3,פנטזיה,מהדורה ישנה,,
102,בשורות טובות,"גאימן ניל, פראצ'ט טרי",,,,,פנטזיה,,,
103,מיתולוגיה נורדית,גיימן ניל,,,,,פנטזיה,,,
104,הנסיכה הקסומה,גולדמן ויליאם,,,,,פנטזיה,נוער,,
105,תרועת מוות,פראצ'ט טרי,עולם הדיסק,4,,,פנטזיה,,,
106,ננסי המכרות,פראצ'ט טרי,ננסים,1,,3,פנטזיה,נוער,,
107,ננסי המשאית,פראצ'ט טרי,ננסים,2,,3,פנטזיה,נוער,,
108,ננסי הכנפיים,פראצ'ט טרי,ננסים,3,,3,פנטזיה,נוער,,
109,המעון של מיס פרגרין לילדים משונים,ריגס רנסום,המעון של מיס פרגרין לילדים משונים,1,,6,פנטזיה,נוער,,
110,עיר חלולה,ריגס רנסום,המעון של מיס פרגרין לילדים משונים,2,,6,פנטזיה,נוער,,
111,ספריית הנשמות,ריגס רנסום,המעון של מיס פרגרין לילדים משונים,3,,6,פנטזיה,נוער,,
112,מפת הימים,ריגס רנסום,המעון של מיס פרגרין לילדים משונים,4,,6,פנטזיה,נוער,,
113,פרסי ג'קסון וגנב הברק,ריירדן ריק,פרסי ג'קסון והאולימפיים,1,,7,פנטזיה,נוער,,
114,פרסי ג'קסון וים המפלצות,ריירדן ריק,פרסי ג'קסון והאולימפיים,2,,7,פנטזיה,נוער,,
115,פרסי ג'קסון וקללת הטיטאן,ריירדן ריק,פרסי ג'קסון והאולימפיים,3,,7,פנטזיה,נוער,,
116,פרסי ג'קסון והקרב על המבוך,ריירדן ריק,פרסי ג'קסון והאולימפיים,4,,7,פנטזיה,נוער,,
117,פרסי ג'קסון ותקוות האולימפוס,ריירדן ריק,פרסי ג'קסון והאולימפיים,5,,7,פנטזיה,נוער,,
118,פרסי ג'קסון וגביע האלים,ריירדן ריק,פרסי ג'קסון והאולימפיים,6,,7,פנטזיה,נוער,,
119,פרסי ג'קסון וזעם האלה המשולשת,ריירדן ריק,פרסי ג'קסון והאולימפיים,7,,7,פנטזיה,נוער,,
120,הגיבור האבוד,ריירדן ריק,גיבורי האולימפוס,1,,5,פנטזיה,נוער,,
121,בן נפטון,ריירדן ריק,גיבורי האולימפוס,2,,5,פנטזיה,נוער,,
122,אות אתנה ,ריירדן ריק,גיבורי האולימפוס,3,,5,פנטזיה,נוער,,
123,בית האדס,ריירדן ריק,גיבורי האולימפוס,4,,5,פנטזיה,נוער,,
123,האורקל הנסתר,ריירדן ריק,גורלו של אפולו,1,,5,פנטזיה,נוער,,
124,הנבואה האפלה,ריירדן ריק,גורלו של אפולו,2,,5,פנטזיה,נוער,,
125,המבוך הבוער,ריירדן ריק,גורלו של אפולו,3,,5,פנטזיה,נוער,,
126,קברו של הרודן,ריירדן ריק,גורלו של אפולו,4,,5,פנטזיה,נוער,,
127,המגדל של נירון,ריירדן ריק,גורלו של אפולו,5,,5,פנטזיה,נוער,,
128,השמש והכוכב ,רייירדן ריק,,,,,פנטזיה ,נוער,,
129,בת המעמקים,רייירדן ריק,,,,,פנטזיה ,נוער,,
130,הפירמידה האדומה,ריירדן ריק,משפחת קיין והאלים המצריים,1,,3,פנטזיה,נוער,,
131,מבחן הברזל ,"בלק הולי, קסנדרה קלייר ",מגיסטריום,1,,5,פנטזיה,נוער,,
132,יד הנחושת ,"בלק הולי, קסנדרה קלייר ",מגיסטריום,2,,5,פנטזיה,נוער,,
133,מפתח הארד,"בלק הולי, קסנדרה קלייר ",מגיסטריום,3,,5,פנטזיה,נוער,,
134,מסכת הכסף,"בלק הולי, קסנדרה קלייר ",מגיסטריום,4,,5,פנטזיה,נוער,,
135,מגדל הזהב,"בלק הולי, קסנדרה קלייר ",מגיסטריום,5,,5,פנטזיה,נוער,,
136,שישיית אטלס,בלייק אוליבי ,,1,,,פנטזיה ,נוער,,
137,הרץ במבוך,דשנר ג'יימס,הרץ במבוך,1,,3,פוסט אפוקליפסה,,,
138,משחקי הרעב,קולינס סוזן,משחקי הרעב,1,,3,פוסט אפוקליפסה,,,
139,התלקחות,קולינס סוזן,משחקי הרעב,2,,3,פוסט אפוקליפסה,,,
